Return,Std,SPY,ASHR.L,VPL,INDA,TLT,EMXC,IEMG,XMAF.L,VDNR.L,KSA,EDEN,VGK,SEMI.AS,AIEQ,BCHN.L,GLD,SLV,USO,DBO,CORN,PSCC,VDE,IDUP.L,VNQ,EWU,EWS,EWW,EWJ,EWH,EWG,EWQ,EWC,EWA
0.18481006367021166,0.031708796527471036,0.034,6.83,0.386,2.632,3.006,5.263,4.641,0.39,3.227,1.48,0.958,1.572,3.48,0.185,1.537,2.764,6.472,5.571,1.658,7.754,13.329,3.8,5.298,0.364,2.22,4.874,1.417,2.643,0.182,3.051,1.257,0.479,1.245
0.1919764996254218,0.03262107383812923,4.253,1.546,6.686,2.539,1.63,5.708,3.643,2.213,1.069,1.973,0.175,0.95,0.181,7.083,11.0,2.784,0.997,15.509,2.992,0.223,2.98,1.319,0.294,0.95,0.258,4.035,2.617,1.701,1.126,0.425,5.478,3.159,2.503
0.20100224255314614,0.03469119404461157,3.134,6.701,2.533,2.732,4.07,0.109,1.375,0.302,4.401,2.399,4.285,1.127,2.512,1.786,6.108,0.831,0.331,1.31,0.653,12.966,4.286,3.617,1.965,1.622,8.68,0.282,0.322,6.362,8.765,1.593,2.068,0.422,0.354
0.2188555548611845,0.036671588378626496,0.982,0.457,16.163,0.499,3.188,2.306,1.741,0.076,0.935,0.037,3.683,7.642,2.422,2.779,1.186,7.283,11.632,0.898,6.613,1.563,0.972,3.374,0.014,0.157,5.325,0.224,0.014,7.264,1.048,4.945,0.018,3.073,1.488
0.2201120959434392,0.04130184429678858,2.37,5.386,1.583,2.129,0.669,0.004,2.205,2.123,0.484,7.072,2.716,2.826,0.315,2.449,3.79,2.595,2.174,5.142,7.657,2.644,2.32,0.407,0.793,11.307,1.338,1.748,0.129,4.568,4.078,4.387,10.077,1.593,0.924
0.22548685263526616,0.04184430934285285,4.939,11.269,1.641,4.706,0.325,0.319,0.351,1.553,4.76,2.345,4.97,1.598,0.989,7.304,0.933,1.987,0.961,1.301,1.847,1.068,1.147,7.378,0.096,2.798,4.893,6.748,4.153,6.763,0.238,2.742,4.478,1.711,1.688
0.28763596639344263,0.04210884661774118,1.213,6.91,3.176,0.503,1.032,1.109,2.625,1.161,1.545,6.422,0.364,0.537,2.991,6.903,0.198,2.94,0.766,6.866,7.694,1.74,0.354,3.457,0.284,5.314,2.742,1.308,1.118,6.171,4.603,3.808,3.354,4.201,6.59
0.289709556209907,0.052993412025693847,3.383,0.945,0.423,4.56,1.428,2.129,0.419,3.194,4.922,9.945,0.414,3.418,1.929,8.965,5.484,5.345,1.311,0.668,3.401,13.631,0.178,5.85,0.084,1.993,1.9,6.578,0.231,1.048,0.548,2.697,0.682,0.669,1.631
0.2936402258967378,0.0537209634892972,3.168,0.075,4.998,0.45,3.089,1.961,0.703,8.704,1.937,2.863,0.357,0.549,2.099,2.679,2.362,4.129,1.422,3.883,2.502,4.792,4.75,1.11,0.266,6.102,1.022,9.229,0.434,0.136,0.079,2.289,2.498,2.62,16.744
0.2998313914260451,0.05509620059956373,3.788,9.245,3.404,5.315,6.769,9.54,2.502,0.129,0.668,1.896,0.583,5.363,0.232,4.943,0.631,2.875,2.161,1.291,3.635,1.975,0.143,4.249,4.08,3.442,0.04,0.396,0.048,1.23,1.121,7.104,9.024,1.759,0.42
0.3084072181984692,0.055474865278681076,2.681,7.541,7.454,0.159,4.084,6.359,0.378,0.467,0.323,0.513,3.511,0.654,0.378,1.768,5.358,4.755,2.156,1.474,0.858,1.552,7.816,1.273,2.382,4.401,4.525,2.834,7.869,8.622,4.292,1.293,0.367,1.193,0.714
0.3239201191219217,0.05598043480818601,0.02,3.225,0.025,1.424,0.214,3.752,2.349,4.643,0.817,15.392,0.409,3.651,3.972,0.648,10.259,0.494,7.58,0.135,5.965,0.009,1.523,0.651,4.99,2.044,3.117,3.979,3.105,0.523,0.591,7.039,0.105,1.698,5.649
0.3245011969024458,0.059289445215561946,0.11,1.315,2.788,4.963,0.231,0.409,3.142,4.22,0.5,0.112,4.158,3.636,1.75,4.253,2.236,1.52,0.963,16.29,2.937,0.041,3.291,2.499,1.595,3.0,2.4,5.244,8.046,6.35,0.755,5.64,0.564,1.049,3.992
0.3296139470195931,0.06228177641311034,1.481,0.331,0.024,1.257,2.708,1.791,1.831,0.169,3.66,1.296,4.162,0.552,2.724,4.001,1.628,1.318,9.549,19.556,2.371,1.244,0.109,1.572,0.978,11.441,4.422,1.888,3.076,2.318,1.448,2.544,1.687,6.427,0.436
0.3482438290709932,0.06309105053277224,1.123,5.155,5.034,6.217,0.328,4.233,0.876,0.14,1.168,0.015,0.009,5.021,3.785,3.291,1.04,8.451,4.53,2.16,3.062,2.547,0.912,8.416,3.721,0.946,3.975,0.642,2.711,2.382,11.148,1.214,0.265,0.8,4.685
